year,date,name,type,country
2016,1/1/2016,New Year's Day,Public Holiday,BR
2016,1/2/2016,Saturday,Weekend,BR
2016,1/3/2016,Sunday,Weekend,BR
2016,1/9/2016,Saturday,Weekend,BR
2016,1/10/2016,Sunday,Weekend,BR
2016,1/16/2016,Saturday,Weekend,BR
2016,1/17/2016,Sunday,Weekend,BR
2016,1/23/2016,Saturday,Weekend,BR
2016,1/24/2016,Sunday,Weekend,BR
2016,1/30/2016,Saturday,Weekend,BR
2016,1/31/2016,Sunday,Weekend,BR
2016,2/6/2016,Saturday,Weekend,BR
2016,2/7/2016,Sunday,Weekend,BR
2016,2/8/2016,Carnival,Public Holiday,BR
2016,2/9/2016,Carnival,Public Holiday,BR
2016,2/13/2016,Saturday,Weekend,BR
2016,2/14/2016,Sunday,Weekend,BR
2016,2/20/2016,Saturday,Weekend,BR
2016,2/21/2016,Sunday,Weekend,BR
2016,2/27/2016,Saturday,Weekend,BR
2016,2/28/2016,Sunday,Weekend,BR
2016,3/5/2016,Saturday,Weekend,BR
2016,3/6/2016,Sunday,Weekend,BR
2016,3/12/2016,Saturday,Weekend,BR
2016,3/13/2016,Sunday,Weekend,BR
2016,3/19/2016,Saturday,Weekend,BR
2016,3/20/2016,Sunday,Weekend,BR
2016,3/25/2016,Good Friday,Public Holiday,BR
2016,3/26/2016,Saturday,Weekend,BR
2016,3/27/2016,Easter Sunday,Public Holiday,BR
2016,4/2/2016,Saturday,Weekend,BR
2016,4/3/2016,Sunday,Weekend,BR
2016,4/9/2016,Saturday,Weekend,BR
2016,4/10/2016,Sunday,Weekend,BR
2016,4/16/2016,Saturday,Weekend,BR
2016,4/17/2016,Sunday,Weekend,BR
2016,4/21/2016,Tiradentes Day,Public Holiday,BR
2016,4/23/2016,Saturday,Weekend,BR
2016,4/24/2016,Sunday,Weekend,BR
2016,4/30/2016,Saturday,Weekend,BR
2016,5/1/2016,Labor Day,Public Holiday,BR
2016,5/7/2016,Saturday,Weekend,BR
2016,5/8/2016,Sunday,Weekend,BR
2016,5/14/2016,Saturday,Weekend,BR
2016,5/15/2016,Sunday,Weekend,BR
2016,5/21/2016,Saturday,Weekend,BR
2016,5/22/2016,Sunday,Weekend,BR
2016,5/26/2016,Corpus Christi,Public Holiday,BR
2016,5/28/2016,Saturday,Weekend,BR
2016,5/29/2016,Sunday,Weekend,BR
2016,6/4/2016,Saturday,Weekend,BR
2016,6/5/2016,Sunday,Weekend,BR
2016,6/11/2016,Saturday,Weekend,BR
2016,6/12/2016,Sunday,Weekend,BR
2016,6/18/2016,Saturday,Weekend,BR
2016,6/19/2016,Sunday,Weekend,BR
2016,6/25/2016,Saturday,Weekend,BR
2016,6/26/2016,Sunday,Weekend,BR
2016,7/2/2016,Saturday,Weekend,BR
2016,7/3/2016,Sunday,Weekend,BR
2016,7/9/2016,Saturday,Weekend,BR
2016,7/10/2016,Sunday,Weekend,BR
2016,7/16/2016,Saturday,Weekend,BR
2016,7/17/2016,Sunday,Weekend,BR
2016,7/23/2016,Saturday,Weekend,BR
2016,7/24/2016,Sunday,Weekend,BR
2016,7/30/2016,Saturday,Weekend,BR
2016,7/31/2016,Sunday,Weekend,BR
2016,8/6/2016,Saturday,Weekend,BR
2016,8/7/2016,Sunday,Weekend,BR
2016,8/13/2016,Saturday,Weekend,BR
2016,8/14/2016,Sunday,Weekend,BR
2016,8/20/2016,Saturday,Weekend,BR
2016,8/21/2016,Sunday,Weekend,BR
2016,8/27/2016,Saturday,Weekend,BR
2016,8/28/2016,Sunday,Weekend,BR
2016,9/3/2016,Saturday,Weekend,BR
2016,9/4/2016,Sunday,Weekend,BR
2016,9/7/2016,Independence Day,Public Holiday,BR
2016,9/10/2016,Saturday,Weekend,BR
2016,9/11/2016,Sunday,Weekend,BR
2016,9/17/2016,Saturday,Weekend,BR
2016,9/18/2016,Sunday,Weekend,BR
2016,9/24/2016,Saturday,Weekend,BR
2016,9/25/2016,Sunday,Weekend,BR
2016,10/1/2016,Saturday,Weekend,BR
2016,10/2/2016,Sunday,Weekend,BR
2016,10/8/2016,Saturday,Weekend,BR
2016,10/9/2016,Sunday,Weekend,BR
2016,10/12/2016,Our Lady of Aparecida,Public Holiday,BR
2016,10/15/2016,Saturday,Weekend,BR
2016,10/16/2016,Sunday,Weekend,BR
2016,10/22/2016,Saturday,Weekend,BR
2016,10/23/2016,Sunday,Weekend,BR
2016,10/29/2016,Saturday,Weekend,BR
2016,10/30/2016,Sunday,Weekend,BR
2016,11/2/2016,All Souls' Day,Public Holiday,BR
2016,11/5/2016,Saturday,Weekend,BR
2016,11/6/2016,Sunday,Weekend,BR
2016,11/12/2016,Saturday,Weekend,BR
2016,11/13/2016,Sunday,Weekend,BR
2016,11/15/2016,Republic Proclamation Day,Public Holiday,BR
2016,11/19/2016,Saturday,Weekend,BR
2016,11/20/2016,Sunday,Weekend,BR
2016,11/26/2016,Saturday,Weekend,BR
2016,11/27/2016,Sunday,Weekend,BR
2016,12/3/2016,Saturday,Weekend,BR
2016,12/4/2016,Sunday,Weekend,BR
2016,12/10/2016,Saturday,Weekend,BR
2016,12/11/2016,Sunday,Weekend,BR
2016,12/17/2016,Saturday,Weekend,BR
2016,12/18/2016,Sunday,Weekend,BR
2016,12/24/2016,Saturday,Weekend,BR
2016,12/25/2016,Christmas Day,Public Holiday,BR
2016,12/31/2016,Saturday,Weekend,BR
2017,1/1/2017,New Year's Day,Public Holiday,BR
2017,1/7/2017,Saturday,Weekend,BR
2017,1/8/2017,Sunday,Weekend,BR
2017,1/14/2017,Saturday,Weekend,BR
2017,1/15/2017,Sunday,Weekend,BR
2017,1/21/2017,Saturday,Weekend,BR
2017,1/22/2017,Sunday,Weekend,BR
2017,1/28/2017,Saturday,Weekend,BR
2017,1/29/2017,Sunday,Weekend,BR
2017,2/4/2017,Saturday,Weekend,BR
2017,2/5/2017,Sunday,Weekend,BR
2017,2/11/2017,Saturday,Weekend,BR
2017,2/12/2017,Sunday,Weekend,BR
2017,2/18/2017,Saturday,Weekend,BR
2017,2/19/2017,Sunday,Weekend,BR
2017,2/25/2017,Saturday,Weekend,BR
2017,2/26/2017,Sunday,Weekend,BR
2017,2/27/2017,Carnival,Public Holiday,BR
2017,2/28/2017,Carnival,Public Holiday,BR
2017,3/4/2017,Saturday,Weekend,BR
2017,3/5/2017,Sunday,Weekend,BR
2017,3/11/2017,Saturday,Weekend,BR
2017,3/12/2017,Sunday,Weekend,BR
2017,3/18/2017,Saturday,Weekend,BR
2017,3/19/2017,Sunday,Weekend,BR
2017,3/25/2017,Saturday,Weekend,BR
2017,3/26/2017,Sunday,Weekend,BR
